Point,Sample_Label,Sequence,Stage,Phase,Exclude,Exclusion_Reason,Process_Note,Individual_Value,Individual_Value_Missing,Subgroup_ID,Subgroup_Label,Subgroup_Sequence,Stacked_Value,Measure_1,Measure_2,Measure_3,Measure_4,Measure_5,Measure_5_With_Missing,Nonconforming_Count,Sample_Size,Sample_Size_Constant,Exposure
11,S11,11,Baseline,Phase I,0,,Stable Phase I baseline,49.92,49.92,G04,Group 04,4,49.99,49.6,49.795,49.885,50.01,50.145,50.145,2,90,100,100
12,S12,12,Baseline,Phase I,0,,Stable Phase I baseline,50.19,50.19,G04,Group 04,4,50.15,49.795,49.945,50.08,50.205,50.295,50.295,3,110,100,80
13,S13,13,Baseline,Phase I,0,,Stable Phase I baseline,49.86,49.86,G05,Group 05,5,49.87,49.845,50.04,50.175,50.255,50.39,50.39,2,100,100,120
14,S14,14,Baseline,Phase I,0,,Stable Phase I baseline,50.06,50.06,G05,Group 05,5,50.12,49.68,49.875,49.965,50.09,50.225,50.225,1,92,100,90
15,S15,15,Baseline,Phase I,0,,Stable Phase I baseline,49.99,49.99,G05,Group 05,5,50.28,49.825,49.975,50.11,50.235,50.325,50.325,3,108,100,110
16,S16,16,Baseline,Phase I,0,,Stable Phase I baseline,50.15,50.15,G06,Group 06,6,49.68,49.605,49.8,49.935,50.015,50.15,50.15,2,84,100,100
17,S17,17,Baseline,Phase I,0,,Stable Phase I baseline,49.91,49.91,G06,Group 06,6,49.93,49.75,49.945,50.035,50.16,50.295,50.295,1,116,100,85
18,S18,18,Baseline,Phase I,1,Temporary setup adjustment,Temporary setup adjustment; supplied as an exclusion,53.6,53.6,G06,Group 06,6,50.09,49.855,50.005,50.14,50.265,50.355,50.355,3,96,100,115
19,S19,19,Baseline,Phase I,0,,Stable Phase I baseline,50.1,50.1,G07,Group 07,7,49.81,49.635,49.83,49.965,50.045,50.18,50.18,2,104,100,95
20,S20,20,Baseline,Phase I,0,,Stable Phase I baseline,49.83,49.83,G07,Group 07,7,50.06,49.72,49.915,50.005,50.13,50.265,50.265,2,88,100,105
21,S21,21,Baseline,Phase I,0,,Stable Phase I baseline,50.05,50.05,G07,Group 07,7,50.22,49.615,49.765,49.9,50.025,50.115,50.115,1,112,100,100
22,S22,22,Baseline,Phase I,0,,Stable Phase I baseline,50.21,50.21,G08,Group 08,8,49.9,49.765,49.96,50.095,50.175,50.31,50.31,4,100,100,80
23,S23,23,Baseline,Phase I,0,,Stable Phase I baseline,49.88,49.88,G08,Group 08,8,50.15,49.86,50.055,50.145,50.27,50.405,50.405,2,90,100,120
24,S24,24,Baseline,Phase I,0,,Blank only in the missing-value demonstration column,50,,G08,Group 08,8,50.31,49.695,49.845,49.98,50.105,50.195,50.195,3,110,100,90
25,S25,25,Baseline,Phase I,0,,Stable Phase I baseline,50.13,50.13,G09,Group 09,9,49.71,49.795,49.99,50.125,50.205,50.34,,1,100,100,110
26,S26,26,Baseline,Phase I,0,,Stable Phase I baseline,49.94,49.94,G09,Group 09,9,49.96,49.62,49.815,49.905,50.03,50.165,50.165,2,92,100,100
27,S27,27,Baseline,Phase I,0,,Stable Phase I baseline,50.17,50.17,G09,Group 09,9,50.12,49.765,49.915,50.05,50.175,50.265,50.265,3,108,100,85
28,S28,28,Baseline,Phase I,0,,Stable Phase I baseline,49.85,49.85,G10,Group 10,10,49.78,49.825,50.02,50.155,50.235,50.37,50.37,2,84,100,115
29,S29,29,Baseline,Phase I,0,,Stable Phase I baseline,50.07,50.07,G10,Group 10,10,50.03,49.65,49.845,49.935,50.06,50.195,50.195,1,116,100,95
30,S30,30,Baseline,Phase I,0,,Stable Phase I baseline,49.97,49.97,G10,Group 10,10,50.19,49.735,49.885,50.02,50.145,50.235,50.235,3,96,100,105
31,S31,31,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.28,50.28,G11,Group 11,11,50.44,50.205,50.4,50.535,50.615,50.75,50.75,4,104,100,100
32,S32,32,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.36,50.36,G11,Group 11,11,50.69,50.4,50.595,50.685,50.81,50.945,50.945,5,88,100,80
33,S33,33,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.31,50.31,G11,Group 11,11,50.85,50.495,50.645,50.78,50.905,50.995,50.995,4,112,100,120
34,S34,34,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.42,50.42,G12,Group 12,12,50.62,50.285,50.48,50.615,50.695,50.83,50.83,6,100,100,90
35,S35,35,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.34,50.34,G12,Group 12,12,50.87,50.43,50.625,50.715,50.84,50.975,50.975,5,90,100,110
36,S36,36,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.45,50.45,G12,Group 12,12,51.03,50.255,50.405,50.54,50.665,50.755,50.755,4,110,100,100
37,S37,37,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.38,50.38,G13,Group 13,13,50.7,50.355,50.55,50.685,50.765,50.9,50.9,6,100,100,85
38,S38,38,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.33,50.33,G13,Group 13,13,50.95,50.46,50.655,50.745,50.87,51.005,51.005,5,92,100,115
39,S39,39,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.47,50.47,G13,Group 13,13,51.11,50.285,50.435,50.57,50.695,50.785,50.785,4,108,100,95
40,S40,40,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.4,50.4,G14,Group 14,14,50.52,50.325,50.52,50.655,50.735,50.87,50.87,5,84,100,105
41,S41,41,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.35,50.35,G14,Group 14,14,50.77,50.22,50.415,50.505,50.63,50.765,50.765,5,116,100,100
42,S42,42,Monitoring,Phase II,0,,Special-cause spike superimposed on the Phase II shift,51.25,51.25,G14,Group 14,14,50.93,51.565,51.715,51.85,51.975,52.065,52.065,12,96,100,80
43,S43,43,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.39,50.39,G15,Group 15,15,51.5,50.465,50.66,50.795,50.875,51.01,51.01,6,104,100,120
44,S44,44,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.44,50.44,G15,Group 15,15,51.75,50.3,50.495,50.585,50.71,50.845,50.845,4,88,100,90
45,S45,45,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.3,50.3,G15,Group 15,15,51.91,50.445,50.595,50.73,50.855,50.945,50.945,5,112,100,110
46,S46,46,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.41,50.41,G16,Group 16,16,50.46,50.225,50.42,50.555,50.635,50.77,50.77,4,100,100,100
47,S47,47,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.37,50.37,G16,Group 16,16,50.71,50.37,50.565,50.655,50.78,50.915,50.915,5,90,100,85
48,S48,48,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.48,50.48,G16,Group 16,16,50.87,50.475,50.625,50.76,50.885,50.975,50.975,4,110,100,115
49,S49,49,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.32,50.32,G17,Group 17,17,50.59,50.255,50.45,50.585,50.665,50.8,50.8,6,100,100,95
50,S50,50,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.43,50.43,G17,Group 17,17,50.84,50.34,50.535,50.625,50.75,50.885,50.885,5,92,100,105
51,S51,51,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.4,50.4,G17,Group 17,17,51,50.235,50.385,50.52,50.645,50.735,50.735,4,108,100,100
52,S52,52,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.34,50.34,G18,Group 18,18,50.68,50.385,50.58,50.715,50.795,50.93,50.93,6,84,100,80
53,S53,53,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.46,50.46,G18,Group 18,18,50.93,50.48,50.675,50.765,50.89,51.025,51.025,5,116,100,120
54,S54,54,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.36,50.36,G18,Group 18,18,51.09,50.315,50.465,50.6,50.725,50.815,50.815,4,96,100,90
55,S55,55,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.49,50.49,G19,Group 19,19,50.49,50.415,50.61,50.745,50.825,50.96,50.96,5,104,100,110
56,S56,56,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.38,50.38,G19,Group 19,19,50.74,50.24,50.435,50.525,50.65,50.785,50.785,5,88,100,100
57,S57,57,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.44,50.44,G19,Group 19,19,50.9,50.385,50.535,50.67,50.795,50.885,50.885,12,112,100,85
58,S58,58,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.33,50.33,G20,Group 20,20,50.56,50.445,50.64,50.775,50.855,50.99,50.99,6,100,100,115
59,S59,59,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.47,50.47,G20,Group 20,20,50.81,50.27,50.465,50.555,50.68,50.815,50.815,4,90,100,95
60,S60,60,Monitoring,Phase II,0,,Sustained Phase II mean/rate shift,50.41,50.41,G20,Group 20,20,50.97,50.355,50.505,50.64,50.765,50.855,50.855,5,110,100,105
