value,grp
44.63528628,1
2.877928889,1
-34.76387403,1
-18.33476174,1
31.39745447,1
8.570547177,1
10.39244696,1
16.07349193,1
-9.567414711,1
9.653437044,1
-4.900660972,1
-10.20196916,1
-4.627403289,1
-0.037911125,1
-42.12350516,1
-1.685415302,1
-7.465299607,1
47.58905223,1
0.247420101,1
22.78312993,1
6.149108483,1
32.33473424,1
-24.78708095,1
10.02678462,1
14.62860044,1
11.28222837,1
-6.964486349,1
43.28405001,1
38.19351721,1
7.834697751,1
-11.40018296,1
23.72263796,1
-27.42916306,1
11.74713932,1
30.11042852,1
11.67037797,1
7.102077032,1
-10.1180228,1
5.622465576,1
31.48990461,1
27.38253559,1
23.11518645,1
3.822279976,1
31.78103387,1
0.669175531,1
-1.82906999,1
53.90713002,1
-5.242085283,1
-5.561090549,1
-11.79763214,1
17.42611519,1
7.585200617,1
-2.265650184,1
-19.92983354,1
-26.73794708,1
51.97718226,1
14.26007318,1
16.38024176,1
0.307696862,1
0.585502019,1
-22.91688699,1
-3.158842194,1
-9.048093236,1
0.391916072,1
21.46472641,1
24.39648258,1
14.63803644,1
2.028506313,1
6.284623194,1
-9.723574951,1
36.55442586,1
6.52252427,1
8.113048605,1
-7.792444851,1
2.358721101,1
27.25788934,1
25.16041266,1
-26.06455721,1
-18.68546289,1
7.139184416,1
27.89039743,1
20.97585027,1
5.223538463,1
27.64069566,1
8.248244992,1
17.62811396,1
-2.848886399,1
-23.98881745,1
52.9841748,2
-37.13583621,2
-15.89304131,2
25.0078904,2
46.75449989,2
-4.390525394,2
9.208034751,2
-11.03224688,2
-22.53180694,2
7.273584995,2
11.74100023,2
10.09104042,2
6.508540789,2
13.19821538,2
13.94911694,2
-15.78376552,2
-8.633181753,2
0.427954799,2
44.14552339,2
14.75126853,2
13.80102847,2
18.36898835,2
-5.656542018,2
1.582558323,2
10.67714154,2
-51.58370525,2
30.51533556,2
-9.151912056,2
-5.121668184,2
23.50276762,2
1.776076058,2
4.022573446,2
0.657215676,2
27.01714609,2
8.116118149,2
21.15949999,2
27.42723725,2
9.726878741,2
44.30423021,2
1.97877969,2
27.87898327,2
36.23278306,2
40.6919901,2
9.881424628,2
12.14836291,2
10.61284027,2
18.72603323,2
30.30160431,2
26.95132141,2
8.346515895,2
31.76993803,2
11.4156285,2
29.15914254,2
36.65074135,2
-9.183380573,2
3.505366547,2
9.36878794,2
29.63667273,2
32.10499588,2
1.009008227,2
21.31359113,2
9.564693098,2
6.536507751,2
11.55064299,2
2.011930772,2
36.53596312,2
-1.934935173,2
10.28380782,2
-12.33473424,2
-2.223199519,2
42.47450877,2
-43.36041795,2
-14.08660293,2
33.78292265,2
8.874113771,2
8.598173079,2
22.81691766,2
55.22516974,2
-3.712951841,2
20.51100753,2
-33.18681022,2
8.180646799,2
-33.82236511,2
-0.910116544,2
-13.0452315,2
-32.25839803,2
20.90122623,2
18.4592557,2
31.0109647,2
20.27983672,2
45.1039489,2
12.91493052,2
-2.041164155,3
9.15751232,3
26.72888175,3
-9.392837203,3
30.54121069,3
0.805417838,3
19.17079888,3
-7.656475393,3
-2.428563423,3
38.90546966,3
-6.9600753,3
11.98378984,3
-1.118436305,3
23.21782293,3
43.06604413,3
11.50614596,3
-5.509385776,3
2.722837305,3
30.01174835,3
10.82411589,3
18.62014531,3
-5.594241631,3
10.23637767,3
9.497367753,3
-4.789839042,3
-12.68930075,3
-14.60333235,3
40.74674169,3
21.09522145,3
14.00218596,3
-31.42584658,3
19.23882908,3
21.11664005,3
5.393386598,3
33.59779501,3
-8.901710064,3
-5.437126422,3
-6.243211576,3
-2.890268408,3
12.7464921,3
19.13510121,3
27.70172275,3
30.25044523,3
18.79508661,3
29.38306013,4
47.57122613,4
-27.4733645,4
0.321430232,4
24.1399596,4
-29.0868081,4
6.145993464,4
1.917411535,5
