Temperature_C,Pressure_kPa,Flow_L_min,ObservationOrder,ObservationLabel,SubgroupID,SubgroupSequence,SubgroupLabel,Stage,Phase,Excluded,ExclusionReason
49.78,100.993,20.249,59,Obs-059,G12,12,Subgroup 12,Baseline,Phase I,No,
50.189,100.385,20.816,60,Obs-060,G12,12,Subgroup 12,Baseline,Phase I,No,
49.618,100.604,19.729,61,Obs-061,G13,13,Subgroup 13,Baseline,Phase I,No,
50.59,102.017,20.061,62,Obs-062,G13,13,Subgroup 13,Baseline,Phase I,No,
49.996,101.994,20.294,63,Obs-063,G13,13,Subgroup 13,Baseline,Phase I,No,
50.268,100.269,19.787,64,Obs-064,G13,13,Subgroup 13,Baseline,Phase I,No,
50.591,100.245,20.159,65,Obs-065,G13,13,Subgroup 13,Baseline,Phase I,No,
51.14,100.719,19.666,66,Obs-066,G14,14,Subgroup 14,Baseline,Phase I,No,
52.138,101.391,19.586,67,Obs-067,G14,14,Subgroup 14,Baseline,Phase I,No,
50.217,100.768,21.397,68,Obs-068,G14,14,Subgroup 14,Baseline,Phase I,No,
49.98,100.978,20.109,69,Obs-069,G14,14,Subgroup 14,Baseline,Phase I,No,
51.327,101.978,19.626,70,Obs-070,G14,14,Subgroup 14,Baseline,Phase I,No,
50.241,100.248,19.855,71,Obs-071,G15,15,Subgroup 15,Baseline,Phase I,No,
50.533,98.637,19.187,72,Obs-072,G15,15,Subgroup 15,Baseline,Phase I,No,
48.667,97.987,19.85,73,Obs-073,G15,15,Subgroup 15,Baseline,Phase I,No,
50.388,99.328,20.025,74,Obs-074,G15,15,Subgroup 15,Baseline,Phase I,No,
50.527,100.406,19.022,75,Obs-075,G15,15,Subgroup 15,Baseline,Phase I,No,
49.054,100.394,20.07,76,Obs-076,G16,16,Subgroup 16,Baseline,Phase I,No,
49.864,101.752,20.252,77,Obs-077,G16,16,Subgroup 16,Baseline,Phase I,No,
49.805,98.694,18.705,78,Obs-078,G16,16,Subgroup 16,Baseline,Phase I,No,
52.399,102.458,18.734,79,Obs-079,G16,16,Subgroup 16,Baseline,Phase I,No,
50.087,100.997,21.212,80,Obs-080,G16,16,Subgroup 16,Baseline,Phase I,No,
51.341,101.676,19.386,81,Obs-081,G17,17,Subgroup 17,Baseline,Phase I,No,
50.588,100.328,19.133,82,Obs-082,G17,17,Subgroup 17,Baseline,Phase I,No,
50.347,100.345,21.642,83,Obs-083,G17,17,Subgroup 17,Baseline,Phase I,No,
50.641,99.151,19.312,84,Obs-084,G17,17,Subgroup 17,Baseline,Phase I,No,
49.034,100.145,21.488,85,Obs-085,G17,17,Subgroup 17,Baseline,Phase I,No,
51.664,101.101,19.427,86,Obs-086,G18,18,Subgroup 18,Baseline,Phase I,No,
48.559,98.088,20.547,87,Obs-087,G18,18,Subgroup 18,Baseline,Phase I,No,
50.061,100.342,20.871,88,Obs-088,G18,18,Subgroup 18,Baseline,Phase I,No,
51.335,100.467,19.185,89,Obs-089,G18,18,Subgroup 18,Baseline,Phase I,No,
50.378,100.201,19.725,90,Obs-090,G18,18,Subgroup 18,Baseline,Phase I,No,
50.901,100.654,19.488,91,Obs-091,G19,19,Subgroup 19,Baseline,Phase I,No,
50.175,100.41,21.028,92,Obs-092,G19,19,Subgroup 19,Baseline,Phase I,No,
51.569,100.837,18.817,93,Obs-093,G19,19,Subgroup 19,Baseline,Phase I,No,
48.571,98.431,20.685,94,Obs-094,G19,19,Subgroup 19,Baseline,Phase I,No,
51.263,101.191,19.161,95,Obs-095,G19,19,Subgroup 19,Baseline,Phase I,No,
48.783,100.415,20.083,96,Obs-096,G20,20,Subgroup 20,Baseline,Phase I,No,
50.132,99.678,20.308,97,Obs-097,G20,20,Subgroup 20,Baseline,Phase I,No,
50.845,100.558,18.014,98,Obs-098,G20,20,Subgroup 20,Baseline,Phase I,No,
50.35,100.592,20.007,99,Obs-099,G20,20,Subgroup 20,Baseline,Phase I,No,
50.607,100.171,19.51,100,Obs-100,G20,20,Subgroup 20,Baseline,Phase I,No,
50.714,98.909,18.845,101,Obs-101,G21,21,Subgroup 21,Monitoring,Phase II,No,
51.279,100.958,19.775,102,Obs-102,G21,21,Subgroup 21,Monitoring,Phase II,No,
50.504,100.605,19.953,103,Obs-103,G21,21,Subgroup 21,Monitoring,Phase II,No,
51.445,101.234,19.491,104,Obs-104,G21,21,Subgroup 21,Monitoring,Phase II,No,
50.104,97.699,19.497,105,Obs-105,G21,21,Subgroup 21,Monitoring,Phase II,No,
49.812,99.705,20.758,106,Obs-106,G22,22,Subgroup 22,Monitoring,Phase II,No,
51.585,100.057,18.478,107,Obs-107,G22,22,Subgroup 22,Monitoring,Phase II,No,
49.652,99.233,19.435,108,Obs-108,G22,22,Subgroup 22,Monitoring,Phase II,No,
51.203,102.256,18.717,109,Obs-109,G22,22,Subgroup 22,Monitoring,Phase II,No,
50.452,100.258,20.21,110,Obs-110,G22,22,Subgroup 22,Monitoring,Phase II,No,
50.63,101.246,19.554,111,Obs-111,G23,23,Subgroup 23,Monitoring,Phase II,No,
51.045,100.602,18.826,112,Obs-112,G23,23,Subgroup 23,Monitoring,Phase II,No,
51.12,100.771,20.599,113,Obs-113,G23,23,Subgroup 23,Monitoring,Phase II,No,
51.78,101.308,19.7,114,Obs-114,G23,23,Subgroup 23,Monitoring,Phase II,No,
49.558,101.964,19.59,115,Obs-115,G23,23,Subgroup 23,Monitoring,Phase II,No,
51.271,100.431,18.34,116,Obs-116,G24,24,Subgroup 24,Monitoring,Phase II,No,
51.32,101.158,18.383,117,Obs-117,G24,24,Subgroup 24,Monitoring,Phase II,No,
51.257,101.159,19.691,118,Obs-118,G24,24,Subgroup 24,Monitoring,Phase II,No,
50.732,100.763,17.882,119,Obs-119,G24,24,Subgroup 24,Monitoring,Phase II,No,
50.401,101.589,18.182,120,Obs-120,G24,24,Subgroup 24,Monitoring,Phase II,No,
50.18,101.524,20.055,121,Obs-121,G25,25,Subgroup 25,Monitoring,Phase II,No,
51.374,101.278,18.84,122,Obs-122,G25,25,Subgroup 25,Monitoring,Phase II,No,
51.848,101.566,18.506,123,Obs-123,G25,25,Subgroup 25,Monitoring,Phase II,No,
50.577,102.388,20.567,124,Obs-124,G25,25,Subgroup 25,Monitoring,Phase II,No,
51.243,100.024,20.613,125,Obs-125,G25,25,Subgroup 25,Monitoring,Phase II,No,
50.738,100.269,20.258,126,Obs-126,G26,26,Subgroup 26,Monitoring,Phase II,No,
51.415,99.259,18.205,127,Obs-127,G26,26,Subgroup 26,Monitoring,Phase II,No,
50.511,99.873,19.168,128,Obs-128,G26,26,Subgroup 26,Monitoring,Phase II,No,
52.011,101.755,19.009,129,Obs-129,G26,26,Subgroup 26,Monitoring,Phase II,No,
50.625,100.091,17.533,130,Obs-130,G26,26,Subgroup 26,Monitoring,Phase II,No,
49.694,102.743,22.761,131,Obs-131,G27,27,Subgroup 27,Monitoring,Phase II,No,
53.226,104.566,20.175,132,Obs-132,G27,27,Subgroup 27,Monitoring,Phase II,No,
47.452,99.564,22.232,133,Obs-133,G27,27,Subgroup 27,Monitoring,Phase II,No,
50.134,97.378,20.871,134,Obs-134,G27,27,Subgroup 27,Monitoring,Phase II,No,
45.38,96.398,22.199,135,Obs-135,G27,27,Subgroup 27,Monitoring,Phase II,No,
53.518,98.573,23.25,136,Obs-136,G28,28,Subgroup 28,Monitoring,Phase II,No,
53.327,99.29,22.828,137,Obs-137,G28,28,Subgroup 28,Monitoring,Phase II,No,
52.089,95.368,20.796,138,Obs-138,G28,28,Subgroup 28,Monitoring,Phase II,No,
52.063,97.943,23.661,139,Obs-139,G28,28,Subgroup 28,Monitoring,Phase II,No,
52.236,96.17,23.066,140,Obs-140,G28,28,Subgroup 28,Monitoring,Phase II,No,
52.551,102.272,18.666,141,Obs-141,G29,29,Subgroup 29,Monitoring,Phase II,No,
50.621,103.773,20.24,142,Obs-142,G29,29,Subgroup 29,Monitoring,Phase II,No,
51.354,100.308,17.005,143,Obs-143,G29,29,Subgroup 29,Monitoring,Phase II,No,
50.965,101.43,19.358,144,Obs-144,G29,29,Subgroup 29,Monitoring,Phase II,No,
51.773,100.797,18.781,145,Obs-145,G29,29,Subgroup 29,Monitoring,Phase II,No,
52.314,102.173,18.15,146,Obs-146,G30,30,Subgroup 30,Monitoring,Phase II,No,
51.514,103.296,19.342,147,Obs-147,G30,30,Subgroup 30,Monitoring,Phase II,No,
52.223,102.194,18.913,148,Obs-148,G30,30,Subgroup 30,Monitoring,Phase II,No,
51.469,101.744,19.65,149,Obs-149,G30,30,Subgroup 30,Monitoring,Phase II,No,
51.768,103.629,20.221,150,Obs-150,G30,30,Subgroup 30,Monitoring,Phase II,No,
